year,manuf_name,num_manuf,brand,num_brand,model_name,price,cylinder,weight,horsepower,fuel_cost,nb_households,sj,i1b_poids_vide,i1b_puis_fisc,i1b_cylindree,i1b_euro_km,i2b_poids_vide,i2b_puis_fisc,i2b_cylindree,i2b_euro_km,i3b_poids_vide,i3b_puis_fisc,i3b_cylindree,i3b_euro_km
2003,"B.M.W.",1,"B.M.W.",3,"M3",7.348888,3.246,16.55,25,14.64334,7185267,4.01e-06,.8744197229,.859075,.8998355791,.8313005,.5035276249,.622294,.5804280406,.4675785,.1928728508,.343061,.2482402766,.2700186
2003,"B.M.W.",1,"B.M.W.",3,"M3",6.555023,3.246,14.95,25,14.3926,7185267,.0000214,.8744197229,.859075,.8998355791,.8313005,.5035276249,.622294,.5804280406,.4675785,.1928728508,.343061,.2482402766,.2700186
2003,"B.M.W.",1,"B.M.W.",3,"M5",8.833416,4.941,17.2,32,17.35135,7185267,6.68e-07,.8744197229,.859075,.8998355791,.8313005,.5193094222,.653583,.5922235345,.4884099,.1928728508,.343061,.2482402766,.2700186
2003,"B.M.W.",1,"B.M.W.",3,"SERIE 3",4.410485,2.993,16.15,12,5.902101,7185267,.0000448,.8744197229,.859075,.8998355791,.8313005,.3671751031,.512785,.4387908526,.3729313,1.372394119,1.44958,1.454932057,1.215904
2003,"B.M.W.",1,"B.M.W.",3,"SERIE 3",4.456463,2.494,15.4,13,12.88814,7185267,1.34e-06,.8744197229,.859075,.8998355791,.8313005,.3671751031,.512785,.4387908526,.3729313,1.372394119,1.44958,1.454932057,1.215904
2003,"B.M.W.",1,"B.M.W.",3,"SERIE 3",3.627646,1.995,15.05,9,5.123802,7185267,.0000561,.8744197229,.859075,.8998355791,.8313005,.3671751031,.512785,.4387908526,.3729313,1.372394119,1.44958,1.454932057,1.215904
2003,"B.M.W.",1,"B.M.W.",3,"SERIE 3",4.346204,2.494,16.05,13,13.23918,7185267,6.68e-07,.8744197229,.859075,.8998355791,.8313005,.3671751031,.512785,.4387908526,.3729313,1.372394119,1.44958,1.454932057,1.215904
2003,"B.M.W.",1,"B.M.W.",3,"SERIE 3",4.642029,2.993,15.55,13,6.680399,7185267,.0002225,.8744197229,.859075,.8998355791,.8313005,.3671751031,.512785,.4387908526,.3729313,1.372394119,1.44958,1.454932057,1.215904
2003,"B.M.W.",1,"B.M.W.",3,"SERIE 3",4.53177,2.171,15.2,11,11.28339,7185267,.0000367,.8744197229,.859075,.8998355791,.8313005,.3671751031,.512785,.4387908526,.3729313,1.372394119,1.44958,1.454932057,1.215904
2003,"B.M.W.",1,"B.M.W.",3,"SERIE 3",3.451232,1.995,14.15,8,4.961656,7185267,.000811,.8744197229,.859075,.8998355791,.8313005,.3671751031,.512785,.4387908526,.3729313,1.372394119,1.44958,1.454932057,1.215904
