Variable,Description,Source
cnty90,State-County FIPS Code,U.S. Decennial Census
year,Year of Election,
preseligible,estimated number of eligible presidential election voters,"from ICPSR 8611 for periods through 1972, then estimated from U.S. Decennial Census using the same methodology as ICPSR 8611 for periods after 1972"
prestout,Presidential turnout,various data sources (see online appendix)
congtout,Congressional turnout,various data sources (see online appendix)
state,State USPS Code,
pmsa90,Primary PMSA,U.S. Decennial Census
border_changes,Number of Boarder Changes 1870-1960,County Longitudinal Template (1840-1990) ICPSR study number 6576
st,State FIPS Code,
nummarkets,number of cities in the county,U.S. Decennial Census
ishare_urb,Interpolated share of population living in cities with 25000+ residents,"interpolated from ICPSR 2896, the Census, and NHGIS"
D_ishare_foreign,change in interpolated share of white population that is foreign-born,"interpolated from ICPSR 2896, the Census, and NHGIS"
D_ishare_manuf,change in interpolated population employed in manufacturing as a share of the population that is males 21 and older,"interpolated from ICPSR 2896, the Census, and NHGIS"
D_ishare_male,change in interpolated share of population that is male and above 21 of age,"interpolated from ICPSR 2896, the Census, and NHGIS"
D_ishare_urb,change in interpolated share of population living in cities with 25000+ residents,"interpolated from ICPSR 2896, the Census, and NHGIS"
D_ishare_town,change in interpolated share of population living in towns with 2500+ residents,"interpolated from ICPSR 2896, the Census, and NHGIS"
D_ishare_white,change in interpolated share of population that is white,"interpolated from ICPSR 2896, the Census, and NHGIS"
D_ilog_manufoutputpercap,change in interpolated log manufacturing output per capita ,"interpolated from ICPSR 2896, the Census, and NHGIS"
numdailies,number of dailies in the county-year, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
circ,total circulation in the county-year, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
miss_circ,number of newspapers in the county-year that have missing circulation data, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
num_polaff_R,number of newspapers that declared Republican, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
num_polaff_D,number of newspapers that declared Democratic,annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
num_polaff_I,number of newspapers that declared Independent, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
num_polaff_none,number of newspapers that did not declare affiliation, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
num_nonpol,number of newspapers that are non-political in nature, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
numdailies_y4,number of dailies that last more than 4 years, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
num_polaff_R_y4,number of newspapers that declared Republican that last more than 4 years, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
num_polaff_D_y4,number of newspapers that declared Democratic that last more than 4 years,annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
entry_conf,confirmed entry, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
entry_polaff_R,analogous to above but for Republican paper, annual directories of US newspapers (exact source depends on time period; see the data section of the paper)
